Date,eNB--MME,total record,total IMSI,IMSI rate,Note
2017-11-17,sum of EN,90682493,88052215,97.10%,
2017-11-17,sum of total ERT eNB,115079427,112389509,97.66%,used in LSR IMSI matching
2017-11-17,sum of NE,79946,79575,99.54%,
2017-11-17,sum of NN,461471941,449379994,97.38%,
2017-11-17,sum of total NSN eNB,461551887,449459569,97.38%,
2017-11-17,total E + N,576631314,561849078,97.44%,used in DMS output reports
2017-11-17,sum of total ERT MME,24476880,24416869,99.75%,
2017-11-17,sum of total NSN MME,552154434,537432209,97.33%,
2017-11-17,IMSI mapping rate,,,81.93%,
2017-11-17,IMEI mapping rate,,,82.66%,
2017-11-18,sum of EE,24626685,24567020,99.76%,
2017-11-18,sum of EN,87160557,84769816,97.26%,
2017-11-18,sum of total ERT eNB,111787242,109336836,97.81%,used in LSR IMSI matching
2017-11-18,sum of NE,76673,76384,99.62%,
2017-11-18,sum of NN,443593810,433139199,97.64%,
2017-11-18,sum of total NSN eNB,443670483,433215583,97.64%,
2017-11-18,total E + N,555457725,542552419,97.68%,used in DMS output reports
2017-11-18,sum of total ERT MME,24703358,24643404,99.76%,
2017-11-18,sum of total NSN MME,530754367,517909015,97.58%,
2017-11-18,IMSI mapping rate,,,87.36%,
2017-11-18,IMEI mapping rate,,,87.67%,
2017-11-19,sum of EE,24532770,24475807,99.77%,
2017-11-19,sum of EN,86210786,84024710,97.46%,
2017-11-19,sum of total ERT eNB,110743556,108500517,97.97%,used in LSR IMSI matching
2017-11-19,sum of NE,77952,77624,99.58%,
2017-11-19,sum of NN,436604110,426663147,97.72%,
2017-11-19,sum of total NSN eNB,436682062,426740771,97.72%,
2017-11-19,total E + N,547425618,535241288,97.77%,used in DMS output reports
2017-11-19,sum of total ERT MME,24610722,24553431,99.77%,
2017-11-19,sum of total NSN MME,522814896,510687857,97.68%,
2017-11-19,IMSI mapping rate,,,93.51%,
2017-11-19,IMEI mapping rate,,,93.52%,
2017-11-20,sum of EE,24213548,24162987,99.79%,
2017-11-20,sum of EN,87736783,85590331,97.55%,
2017-11-20,sum of total ERT eNB,111950331,109753318,98.04%,used in LSR IMSI matching
2017-11-20,sum of NE,68243,68037,99.70%,
2017-11-20,sum of NN,452590370,442801559,97.84%,
2017-11-20,sum of total NSN eNB,452658613,442869596,97.84%,
2017-11-20,total E + N,564608944,552622914,97.88%,used in DMS output reports
2017-11-20,sum of total ERT MME,24281791,24231024,99.79%,
2017-11-20,sum of total NSN MME,540327153,528391890,97.79%,
2017-11-20,IMSI mapping rate,,,93.93%,
2017-11-20,IMEI mapping rate,,,93.95%,
2017-11-21,sum of EE,23319153,23270759,99.79%,
2017-11-21,sum of EN,86835816,84836368,97.70%,
2017-11-21,sum of total ERT eNB,110154969,108107127,98.14%,used in LSR IMSI matching
2017-11-21,sum of NE,67010,66934,99.89%,
2017-11-21,sum of NN,443555280,434448362,97.95%,
2017-11-21,sum of total NSN eNB,443622290,434515296,97.95%,
